数据类型,规则编号,规则名称,策略类型,紧急度权重,交期权重,客户等级权重,订单价值权重,产品组权重,库存状态权重,产能利用率权重,生效日期,失效日期,状态,备注,调拨编号,物料ID,调拨原因,关联订单
优先级规则,PR001,均衡策略-默认,均衡策略,0.25,0.25,0.2,0.15,0.1,0.05,0,2026/1/1,,启用,默认均衡策略，综合考虑各维度因素,,,,
优先级规则,PR002,交付优先策略,交付优先,0.35,0.35,0.15,0.1,0.05,0,0,2026/1/1,,启用,紧急订单优先处理，适用于交期紧张时期,,,,
优先级规则,PR003,库存优先策略,库存优先,0.15,0.15,0.1,0.1,0.2,0.25,0.05,2026/1/1,,启用,优先消耗现有库存，降低库存持有成本,,,,
优先级规则,PR004,供应商优先策略,供应商优先,0.2,0.2,0.15,0.1,0.1,0.15,0.1,2026/1/1,,停用,优先使用供应商库存，适用于供应链紧张时期,,,,
优先级规则,PR005,稳定性优先策略,稳定性优先,0.2,0.25,0.2,0.15,0.1,0.05,0.05,2026/1/1,,停用,减少计划波动，保障生产稳定性,,,,
优先级规则,PR006,成本优先策略,成本优先,0.15,0.15,0.15,0.25,0.15,0.1,0.05,2026/1/1,,停用,最小化采购和库存成本,,,,
优先级规则,PR007,临期优先策略,临期优先,0.15,0.15,0.15,0.1,0.15,0.25,0.05,2026/1/1,,停用,优先消耗临期库存，减少过期损耗,,,,
工程变更,,,材料替换,,,,,,,,2026/7/20,2026/12/19,启用,"影响产品:P0051, 替换物料:M0144",ECN-2026-001,M0144,因供应链问题替换等效材料,P0051
工程变更,,,环保合规,,,,,,,,2026/8/10,2026/12/10,启用,"影响产品:P0014, 替换物料:M0020",ECN-2026-002,M0020,满足新环保标准要求,P0014
工程变更,,,材料替换,,,,,,,,2026/6/29,2026/12/10,启用,"影响产品:P0091, 替换物料:M0155",ECN-2026-003,M0155,因供应链问题替换等效材料,P0091
工程变更,,,用量调整,,,,,,,,2026/6/17,2026/11/26,启用,"影响产品:P0059, 替换物料:M0005",ECN-2026-004,M0005,根据工艺优化结果调整用量,P0059
工程变更,,,环保合规,,,,,,,,2026/7/27,2026/11/28,启用,"影响产品:P0055, 替换物料:M0126",ECN-2026-005,M0126,满足新环保标准要求,P0055
工程变更,,,质量升级,,,,,,,,2026/6/28,2026/12/20,启用,"影响产品:P0010, 替换物料:M0065",ECN-2026-006,M0065,提升关键部件质量等级,P0010
工程变更,,,环保合规,,,,,,,,2026/8/2,2026/11/22,启用,"影响产品:P0021, 替换物料:M0169",ECN-2026-007,M0169,满足新环保标准要求,P0021
工程变更,,,材料替换,,,,,,,,2026/7/21,2026/12/22,启用,"影响产品:P0094, 替换物料:M0044",ECN-2026-008,M0044,因供应链问题替换等效材料,P0094
工程变更,,,材料替换,,,,,,,,2026/7/24,2027/1/6,启用,"影响产品:P0013, 替换物料:M0112",ECN-2026-009,M0112,因供应链问题替换等效材料,P0013
工程变更,,,成本优化,,,,,,,,2026/7/16,2026/12/16,启用,"影响产品:P0033, 替换物料:M0194",ECN-2026-010,M0194,更换更具性价比方案,P0033
工程变更,,,环保合规,,,,,,,,2026/6/17,2026/10/10,启用,"影响产品:P0027, 替换物料:M0159",ECN-2026-011,M0159,满足新环保标准要求,P0027
工程变更,,,成本优化,,,,,,,,2026/7/26,2026/11/8,启用,"影响产品:P0013, 替换物料:M0087",ECN-2026-012,M0087,更换更具性价比方案,P0013
工程变更,,,成本优化,,,,,,,,2026/7/18,2026/11/22,启用,"影响产品:P0008, 替换物料:M0071",ECN-2026-013,M0071,更换更具性价比方案,P0008
工程变更,,,材料替换,,,,,,,,2026/6/19,2026/10/6,启用,"影响产品:P0061, 替换物料:M0176",ECN-2026-014,M0176,因供应链问题替换等效材料,P0061
工程变更,,,用量调整,,,,,,,,2026/6/16,2026/11/15,启用,"影响产品:P0085, 替换物料:M0199",ECN-2026-015,M0199,根据工艺优化结果调整用量,P0085
